Island_Name,RasterAddress_1km,DepthBin_5m,Depth_m_mn,Longitude_mn,Latitude_mn,Longitude_ras,Latitude_ras,AreaSurveyed_m2_sum,PercentLiveCoralCover_mean,PercentLiveCoralCover_sd,PercentLiveCoralCover_N,PctCoralUnbleached_mean,PctCoralUnbleached_sd,PctCoralUnbleached_N,PctCoralPartialBleached_mean,PctCoralPartialBleached_sd,PctCoralPartialBleached_N,PctCoralFullyBleached_mean,PctCoralFullyBleached_sd,PctCoralFullyBleached_N,PctAffected_mean,PctAffected_sd,PctAffected_N,DHW.MeanMax_Degree_Heating_Weeks_MO03,DHW.MeanMax_Degree_Heating_Weeks_YR10YR01,mean_PAR_MODIS_Daily_MO03,mean_kdPAR_VIIRS_Weekly_MO03,mean_weekly_range_SST_CRW_Daily_ALLB4,Prop_BleachResTaxa,OTP_MHI_OSDS_TotalEffluent,LBSP_AgGolf_runoff_01_sc,LBSP_Urban_runoff_01_sc,WaveEnergy_MN1979.2012,TourRec_DirectHuman_10yrAvgPUD,Depth_m_mn_sc,Correlation_Weight
Hawaii,36892,"(10,15]",14.0208,-155.86452,20.07433401,-155.8604885,20.07392,20,NA,NA,2,48.7,3.959797975,2,19.35,2.333452378,2,32.35,6.293250353,2,51.7,3.959797975,2,10.67000008,0,51.8785167,0.060727556,2.518868032,9.150836682,2555.260594,-1.003499166,-0.474021744,173.4235325,0.899999976,1.732507943,0.232026887
Hawaii,37128,"(5,10]",8.758248058,-155.8535153,20.06530879,-155.8514745,20.06461055,4346,26.25,1.767766953,2,41.25,1.767766953,2,17.5,3.535533906,2,41.25,5.303300859,2,58.75,1.767766953,2,10.67000008,0,48.45251189,0.055998667,2.522830315,5.27282999,20407.85198,-1.002444287,-0.397135632,172.8911796,2.889579925,0.206767095,0.519740226
Hawaii,35008,"(5,10]",9.70000112,-155.8968128,20.14653572,-155.8965445,20.14315724,3504.4,25,7.071067812,2,55,14.14213562,2,27.5,10.60660172,2,17.5,3.535533906,2,45,14.14213562,2,8.5,0,48.51433784,0.050994445,2.509811329,7.558426965,56.5884285,-1.005668316,-0.63148863,169.3088266,1.700000048,0.479804042,0.064967528
Hawaii,35243,"(10,15]",10.54645267,-155.8955352,20.13751051,-155.8965445,20.14025234,3240.9,18.75,12.37436867,2,53.75,1.767766953,2,33.75,1.767766953,2,12.5,3.535533906,2,46.25,1.767766953,2,8.5,0,48.51433784,0.050994445,2.509811329,1.335411674,68.90472339,-1.005705249,-0.634436623,171.2676501,1.399999976,0.72521078,0.519740226
Hawaii,39010,"(10,15]",10.11454946,-155.830058,19.99310708,-155.8334465,19.99594183,4892.8,17.5,7.071067812,2,46.25,1.767766953,2,20,0,2,33.75,1.767766953,2,53.75,1.767766953,2,11.03812502,0,48.09132766,0.062103555,2.506741481,0.281870025,3237.068514,0.288491289,-0.565114008,168.9323559,86.70000458,0.599991612,0.519740226
Hawaii,39947,"(10,15]",11.01933637,-155.862594,19.95700623,-155.8604885,19.95574662,5404.3,15,7.071067812,2,63.75,1.767766953,2,17.5,3.535533906,2,18.75,5.303300859,2,36.25,1.767766953,2,11.18999958,0,47.8323874,0.062731066,2.508490652,5.41891066,7950.769942,-0.378773252,-0.030417574,169.9088264,122.4000015,0.862311179,0.519740226
Hawaii,40180,"(10,15]",11.04286916,-155.8756391,19.94798101,-155.8785165,19.94452092,5628.7,12.5,3.535533906,2,57.5,17.67766953,2,26.25,12.37436867,2,16.25,5.303300859,2,42.5,17.67766953,2,11.38000011,0,47.75221523,0.063155392,2.495471846,0.383564077,659.4635011,0.312619929,-0.459095439,744.885307,31.70000076,0.869133903,0.051974023
Hawaii,41352,"(10,15]",10.16604126,-155.9046838,19.90285494,-155.9055585,19.90372347,4222.4,28.75,5.303300859,2,61.25,8.838834765,2,17.5,0,2,21.25,8.838834765,2,38.75,8.838834765,2,11.31999969,0,47.62348152,0.067407353,2.498490711,0.674565981,77.9714776,-0.250245428,-0.493382379,1568.691205,7.604556972,0.614920329,0.103948045
Hawaii,41586,"(10,15]",11.72490197,-155.910358,19.89382973,-155.9145725,19.89654798,4341.2,15,7.071067812,2,57.5,3.535533906,2,16.25,1.767766953,2,26.25,1.767766953,2,42.5,3.535533906,2,11.31999969,0,47.62348152,0.067407353,2.486981266,0.558348767,226.353714,-0.333081253,-0.516456234,1889.350034,6.099999905,1.06687168,0.259870113
Hawaii,41587,"(10,15]",12.61527065,-155.9096743,19.89382973,-155.9055585,19.89261693,2139.4,15,NA,2,57.98570309,0.686887897,2,19.72859188,6.687238761,2,22.28570503,7.374126665,2,42.015,0.685893578,2,11.31999969,0,50.55672789,0.069123259,2.483773753,1.182662229,226.353714,-0.283972715,-0.497469701,1889.350034,6.099999905,1.325011054,1
Hawaii,42290,"(5,10]",9.796054231,-155.9252644,19.86675409,-155.9235865,19.86586596,2431.2,15,NA,2,60.485,6.385174234,2,14.21,4.65276262,2,25.305,11.03793685,2,39.515,6.385174234,2,11.31999969,0,47.73934871,0.069780229,2.486981266,0.029159143,317.7763993,-0.161733906,-0.505535027,2202.87945,14,0.507652157,0.143892643
Hawaii,42524,"(10,15]",11.93406571,-155.9344751,19.85772887,-155.9326005,19.85454609,2235.3,17.5,NA,2,47.89338504,10.05027127,2,25.32503149,3.99519784,2,26.78158348,6.055073426,2,52.105,10.04798736,2,11.31999969,0,50.00422759,0.071035531,2.483773753,0.002909023,734.8121514,-0.024954499,-0.602242945,2274.605922,9.199999809,1.127513299,0.091439167
Hawaii,42756,"(5,10]",8.891729745,-155.962524,19.84870366,-155.9596425,19.85298906,4316.1,57.5,0,2,63.75,5.303300859,2,15,0,2,21.25,5.303300859,2,36.25,5.303300859,2,11.31999969,0,48.19286486,0.068819379,2.480188658,0.204820324,65.62866362,1.071171046,-0.476070772,4333.900073,4.391917563,0.245466658,0.173246742
Hawaii,36420,"(10,15]",10.668,-155.87549,20.09238444,-155.8785165,20.09202,20,NA,NA,1,49.09,NA,1,14.55,NA,1,36.36,NA,1,50.91,NA,1,10.67000008,0,48.81088946,0.055998667,2.522830315,9.246331749,0,-1.005393844,-0.611430065,174.5000031,1.399999976,0.760450285,0.055967117
Hawaii,36891,"(5,10]",8.925269467,-155.8654489,20.07433401,-155.8695025,20.07741916,2605,52.5,NA,1,40,NA,1,35,NA,1,25,NA,1,60,NA,1,10.67000008,0,48.45251189,0.055998667,2.522830315,9.522792494,2555.260594,-1.003625588,-0.483468694,173.4235325,0.899999976,0.255190633,0.055967117
Hawaii,37127,"(5,10]",8.768640233,-155.8563365,20.06530879,-155.8604885,20.06831287,2076.5,25,NA,1,35,NA,1,32.5,NA,1,32.5,NA,1,65,NA,1,10.67000008,0,48.45251189,0.055998667,2.522830315,0.938053254,13078.01562,-1.002537386,-0.404137511,172.8911796,2.700000048,0.209780037,0.055967117
Hawaii,37363,"(10,15]",13.716,-155.8487678,20.05628358,-155.8514745,20.05939339,30,NA,NA,1,25.43151943,NA,1,39.37263923,NA,1,35.19584133,NA,1,74.57,NA,1,9.869999886,0,51.8785167,0.064775852,2.505220221,0.968647591,17123.37534,-1.003320277,-0.453940956,83.61470717,2.900000095,1.644139065,0.055967117
Hawaii,37364,"(5,10]",8.892650238,-155.8460193,20.05628358,-155.8424605,20.05752677,2181.8,30,NA,1,42.5,NA,1,20,NA,1,37.5,NA,1,57.5,NA,1,10.02000014,0,48.45251189,0.060577333,2.508930926,10.42856421,17123.37534,-1.00303756,-0.426044132,83.61470717,2.900000095,0.245733531,0.055967117
Hawaii,37599,"(5,10]",8.8392,-155.84073,20.04725837,-155.8424605,20.05033,20,NA,NA,1,36.88,NA,1,17.02,NA,1,46.1,NA,1,63.12,NA,1,10.69250003,0,48.45251189,0.060577333,2.510251678,8.432806349,7272.277694,-1.004433598,-0.486826212,78.77941301,11.10000038,0.230237017,0.055967117
Hawaii,37835,"(10,15]",13.716,-155.8371419,20.03823315,-155.8334465,20.03566884,30,NA,NA,1,16.52844232,NA,1,37.57398547,NA,1,45.89757221,NA,1,83.47,NA,1,10.69250003,0,51.06010503,0.064775852,2.510251678,8.804434231,3863.696098,-0.997384314,-0.57656927,169.9705912,9.699999809,1.644139065,0.055967117
Hawaii,37835,"(5,10]",6.096,-155.8366193,20.03823315,-155.8334465,20.03571024,30,NA,NA,1,8.573521059,NA,1,36.48372343,NA,1,54.94275551,NA,1,91.43,NA,1,10.69250003,0,51.06010503,0.064775852,2.510251678,9.191117648,3863.696098,-0.997384314,-0.57656927,169.9705912,9.699999809,-0.565082885,0.055967117
Hawaii,38305,"(10,15]",13.716,-155.8312052,20.02018272,-155.8334465,20.02040296,30,NA,NA,1,23.66495303,NA,1,48.50065055,NA,1,27.83439642,NA,1,76.34,NA,1,10.53999996,0,51.79425867,0.066125284,2.50657242,10.49707139,522.7809404,-0.718380468,-0.481242374,163.2941205,44.79999924,1.644139065,0.055967117
Hawaii,38305,"(5,10]",6.096,-155.8299388,20.02018272,-155.8334465,20.02049558,30,NA,NA,1,8.867117098,NA,1,39.90206144,NA,1,51.23082146,NA,1,91.13,NA,1,10.07833354,0,52.72612414,0.066863333,2.502342863,10.7294543,858.8978843,-0.667848687,-0.431401253,163.2941205,44.79999924,-0.565082885,0.055967117
Hawaii,38775,"(10,15]",13.716,-155.8309239,20.0021323,-155.8334465,19.99986654,30,NA,NA,1,50.52872566,NA,1,11.34567187,NA,1,38.12560247,NA,1,49.47,NA,1,10.07833354,0,52.96663984,0.066863333,2.500754818,1.129242713,1875.787352,0.235704954,-0.48465425,166.785297,95.70000458,1.644139065,0.055967117
Hawaii,38775,"(5,10]",6.096,-155.8289395,20.0021323,-155.8334465,20.00066668,30,NA,NA,1,44.32562879,NA,1,24.09248305,NA,1,31.58188816,NA,1,55.67,NA,1,10.07833354,0,52.96663984,0.066863333,2.500754818,0.699668847,3686.773013,0.296080549,-0.447024539,166.785297,95.70000458,-0.565082885,0.055967117
Hawaii,39245,"(10,15]",13.716,-155.8338009,19.98408187,-155.8334465,19.98668592,30,NA,NA,1,22.12907476,NA,1,47.27942114,NA,1,30.5915041,NA,1,77.87,NA,1,10.41208355,0,52.86191287,0.067498333,2.495963163,1.98537224,2800.591425,0.202662783,-0.235519772,164.2558852,83.20000458,1.644139065,0.055967117
Hawaii,39713,"(5,10]",6.096,-155.8487844,19.96603144,-155.8514745,19.96988347,30,NA,NA,1,16.05417529,NA,1,48.87853692,NA,1,35.06728778,NA,1,83.95,NA,1,11.03812502,0,51.68358637,0.066862642,2.499756401,0.801702915,18645.63283,-0.222450367,0.312068009,165.3000028,57.75008331,-0.565082885,0.055967117
Hawaii,39946,"(10,15]",13.716,-155.8663579,19.95700623,-155.8695025,19.95298522,30,NA,NA,1,9.135293627,NA,1,59.94862752,NA,1,30.91607886,NA,1,90.86,NA,1,11.18999958,0,51.43069424,0.066684252,2.501320821,0.776966379,3936.972609,-0.477751986,-0.255352694,169.9088264,91,1.644139065,0.055967117
Hawaii,39947,"(5,10]",8.085295294,-155.8647374,19.95700623,-155.8604885,19.95293604,2699.3,40,NA,1,55,NA,1,32.5,NA,1,12.5,NA,1,45,NA,1,11.18999958,0,47.8323874,0.062731066,2.508490652,0.708197524,3936.972609,-0.405475302,-0.122238993,169.9088264,122.4000015,0.011661843,0.055967117
Hawaii,40181,"(10,15]",13.76473809,-155.8724717,19.94798101,-155.8695025,19.9468605,3067.6,22.5,NA,1,62.5,NA,1,12.5,NA,1,25,NA,1,37.5,NA,1,11.38000011,0,47.8323874,0.063155392,2.495471846,2.408878452,1048.966478,0.282768351,-0.362060098,167.8441205,105.9000015,1.658269415,0.055967117
Hawaii,40414,"(10,15]",13.716,-155.8847849,19.9389558,-155.8875305,19.93513369,30,NA,NA,1,21.22490642,NA,1,42.01473804,NA,1,36.76035554,NA,1,78.78,NA,1,10.75,0,52.50122006,0.067426888,2.483019019,2.153794214,1173.27252,0.775349671,-0.524449512,1061.482372,125.6002616,1.644139065,0.055967117
Hawaii,40414,"(5,10]",6.096,-155.8842603,19.9389558,-155.8875305,19.93455534,30,NA,NA,1,29.24374235,NA,1,49.76213401,NA,1,20.99412364,NA,1,70.76,NA,1,10.75,0,52.50122006,0.067426888,2.483019019,1.576243021,1173.27252,0.775349671,-0.524449512,1061.482372,125.6002616,-0.565082885,0.055967117
Hawaii,40415,"(10,15]",11.50330032,-155.8786541,19.9389558,-155.8785165,19.94242233,2392.5,15,NA,1,55,NA,1,22.5,NA,1,22.5,NA,1,45,NA,1,11.38000011,0,47.75221523,0.063155392,2.495471846,1.385715281,1700.975633,1.144425941,-0.462759492,676.8529531,137.6999969,1.002624012,0.055967117
